x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
0.006709870062287848 m,-0.028543897448564337 m,-0.01313548263755493 m,-0.018067954679978016 m,0.000202636599450301 m,-0.030314701238104647 m,-0.02544838007554162 m,-0.0035280029877817753 m,0.007902369556287425 m,0.005205340108638268 m,0.008335014699426324 m,-0.014430626572469407 m,-0.003088672565787931 m,-0.0099648006062516 m,0.001164611193331666 m,0.027856441504962248 m,-0.0179982984271696 m,0.01942726701647146 m,0.022642895713993028 m,0.02046140236550187 m,0.02498916640455562 m,0.0012479491907058105 m,-0.00425583895762216 m,0.009829749339388627 m,0.016304645608780532 m,0.008390739463006724 m,0.02095731997728123 m,-0.00948767012805618 m,6.77985935020331e-5 m,-0.026644913926265446 m,0.0041587279401618105 m,-0.00284343130478959 m,-0.03486180570321196 m,-0.02381890983716417 m,-0.0020491085601115344 m,-0.0018190280820320481 m,-0.004952254444120285 m,-0.008632213613019246 m,0.0121461862329717 m,-0.0003918523740757962 m,0.01474339059587848 m,0.0011249751302493394 m,-0.011350496530820209 m,-0.003631622278216895 m,0.013403071463095273 m,-0.02619509197329606 m,-0.001671822048969318 m,-0.016619927376545718 m,-0.027037936911494143 m,0.003049261376109058 m,-0.03012774837015897 m,-0.03377212838330834 m,-0.007648410701094122 m,-0.005332947776313546 m,0.00020260491642432044 m,-0.03395909721005452 m,0.012577943645304401 m,0.0077537064284420865 m,-0.029271896578947576 m,-0.022602448650001605 m,-0.009268619258548938 m,-0.007556469302620883 m,0.0016248944774552854 m,-0.042397112598781206 m,0.014981016651240964 m,-0.022757620370111198 m,-7.890201746008074e-5 m,0.00023965966903460867 m,-0.022389722306950688 m,0.0695565165640133 m
-0.024464582886569275 m,-0.003331257545418964 m,-0.028486122330189545 m,0.009980387968930415 m,-0.022776948412360554 m,-0.041239255671705166 m,-0.03213527719758957 m,0.001894120068875793 m,-0.0034870977683212345 m,-0.01950605032513053 m,-0.013274157504191919 m,0.0031478381714933334 m,-0.0033920701911469564 m,0.0021057385495026892 m,0.00442562146999137 m,-0.01902319694955068 m,-0.01344797017742394 m,-0.011458310401298633 m,-0.027336998907266263 m,0.008078096322044814 m,0.012766409809589874 m,-0.0008108488011338011 m,-0.0020525697190549863 m,-0.0006102137888888137 m,0.005830755546888611 m,0.003830392041397346 m,-0.013000003875873745 m,-0.03243884750914816 m,-0.019903176502289455 m,-0.010312511962105475 m,-0.0013174140352560926 m,-0.0035592864991791373 m,-0.013421903729231133 m,-0.004225692012816751 m,-0.019283705158784414 m,0.01342239250709909 m,0.013264326928364767 m,-0.0077295045148702 m,-0.0209933512724092 m,0.008860580632674697 m,-0.006703225012785197 m,-0.003354280184900915 m,-0.004584760883865613 m,-0.007784597952557704 m,0.001600912651106512 m,0.0008434162485038144 m,0.0023586854071808716 m,0.003128442386998387 m,-0.03428865104980261 m,-0.01888438111497237 m,-0.023202433852304694 m,0.02413673877282463 m,0.012688940489123723 m,-0.006875570827578059 m,-0.0190578120078726 m,-0.02825253020162677 m,-0.027988662980586554 m,-0.003253865556256841 m,-0.008342066266010306 m,-0.024490985631842932 m,-0.011525505897978405 m,-0.004404582710062499 m,-0.0416129026690335 m,-0.04283530704114824 m,-0.03500300229790554 m,-0.03471571772334059 m,-0.034212511053095085 m,-0.02511765671238564 m,-0.012421252744200473 m,-0.0128680739545608 m
-0.02217643981041917 m,-0.011902628345549005 m,-0.008965909540805228 m,-0.007725607199787987 m,-0.014273108136983126 m,-0.013629870682606793 m,0.00044400771257713245 m,0.008415133940669506 m,0.002023155845403579 m,-0.01601274771551431 m,-0.011562562405099897 m,-0.009232155973261769 m,0.0023874362948532735 m,-0.037837984675334724 m,0.016711459262253925 m,-0.029798726130110254 m,-0.0005450301756440012 m,-0.010883315488769085 m,-0.013469408059361143 m,-0.008909647068318094 m,0.0074634690985284635 m,0.004991151159522644 m,-0.004919831875877634 m,0.009770891639053758 m,0.0041751992346625855 m,-0.003372063900947353 m,-0.0033012597246191433 m,-0.0024900759383079674 m,-0.03278142446520249 m,-0.007996397696803825 m,-0.001792810693544311 m,-0.0025902753947946167 m,-0.012475731792122247 m,0.012457561323742539 m,-0.002625338868089244 m,0.0027648792044416837 m,-0.020663203626384075 m,-0.015681630152517556 m,-0.022962806624743592 m,0.006104409752715867 m,-0.03512154626341513 m,-0.022469551226631523 m,0.006239224117308595 m,-0.0031420856388848506 m,-0.010290143133161678 m,-0.008258307645967022 m,0.0005436108048684218 m,-0.01790277818806274 m,-0.0071741724425535836 m,-0.0020577895792968093 m,-0.018633879450344892 m,-0.007228634484786056 m,-0.005122110876449426 m,-0.00692248375903759 m,-0.0014392440927899486 m,-5.724410396723556e-5 m,-0.005324142584164804 m,-0.006591460901095303 m,0.007958930759521365 m,-0.007637076923909802 m,-0.004277212786856666 m,-0.004349369368458866 m,-0.008428299023570673 m,-0.03160281869585191 m,-0.01628332076568384 m,-0.036238704762457274 m,-0.024728321274650966 m,-0.029280492619772502 m,0.003210078218437218 m,-0.01965992989156007 m
-0.04153824827118413 m,-0.04476490357723861 m,-0.034675996010012256 m,-0.020480823313928198 m,-0.022070666989566945 m,-0.04246676868230992 m,-0.03433465210566311 m,-0.0083235524355878 m,0.009369894655478106 m,-0.007400647055632703 m,-0.015399452723066531 m,-0.009981319009121137 m,-0.014876510966111312 m,0.0002233059598850673 m,0.007453963497688676 m,-0.02432256522374132 m,-0.03249523927184583 m,-0.018140210033834592 m,-0.04031262776411282 m,-0.006942392840457501 m,-0.004805045061985425 m,-0.0023864379495002197 m,0.0031580020362902417 m,-0.032475089280314506 m,-0.011212154861205192 m,-0.01585677840296995 m,-0.024326505501257145 m,-0.00924156815100119 m,-0.03443259069972626 m,-0.032083774953559185 m,0.00283245338454563 m,-0.006707855332088286 m,-0.00044012194865672427 m,0.0024076363025464786 m,0.0021576144717272427 m,-0.004817928192849763 m,0.004902989334510721 m,-0.010666655114274448 m,0.0014095492160350886 m,0.0010354045672578138 m,0.0012765470316509209 m,0.01340040632366879 m,-0.0026578072732981184 m,0.0006861728160743041 m,0.0062276415397874985 m,-0.0010279074061436688 m,9.303828342410725e-6 m,0.0018610273877968098 m,-0.01285015136489065 m,0.0023304945213986628 m,0.004895652805362971 m,-0.010975253059537948 m,-0.02095379398783237 m,-0.007085944605172756 m,0.0006097134876625887 m,-0.018007861008452863 m,0.004410707759578969 m,-0.008490477661297291 m,-0.007398518168674428 m,0.0005127384201983887 m,-0.011404405298119258 m,-0.016397337887401164 m,-0.02331412718179493 m,-0.02811430117084157 m,-0.031758407183708925 m,0.0029443849811734424 m,-0.01283242609439128 m,-0.022522074874771647 m,0.0029818464373541076 m,-0.025069836224659525 m
-0.037291155626771655 m,-0.023110195096990083 m,-0.03482545706141238 m,-0.010789177780822001 m,-0.029100388378861197 m,-0.03435228628148579 m,-0.03176230323568063 m,-0.03234899783646128 m,-0.006540317214692948 m,-0.020832447959278966 m,-0.007091503614670813 m,-0.0012332438561912795 m,-0.035700436048760054 m,0.008312164135809041 m,0.009566516881321263 m,-0.037141247141978084 m,-0.027063075869065756 m,-0.0015394407256010822 m,-0.010540650080798741 m,-0.0038991623734538905 m,-0.009098829141269249 m,-0.021833903729937987 m,-0.00373367544987957 m,-0.025414264889175087 m,-0.019459377121837207 m,-0.019272169399748407 m,-0.016176911357646873 m,-0.03512048945518842 m,-0.031288369436882846 m,-0.03181312315988194 m,-0.033666663298436816 m,0.0037987011698916717 m,-0.0014036658141414193 m,-0.0046716015274164135 m,-0.0029192166182383517 m,-0.0036471871908396736 m,-0.0015849768431515088 m,-0.00802406015999324 m,-0.010578317346794819 m,-0.011994517088222523 m,0.01896719047250528 m,0.004669490932833753 m,-0.02188015789487352 m,-0.01890367061915299 m,0.016448814332424178 m,0.01613042956294919 m,-0.007834234083574643 m,-0.016059852429414434 m,0.004900834828234224 m,0.004848972869165635 m,-0.017629541680513228 m,-0.00289522024538158 m,-0.00715610570723868 m,-0.005216032353118294 m,-0.022371516884604148 m,-0.014020045797590086 m,0.01154729597252313 m,-0.0127443962764211 m,-0.014831061790204103 m,-0.005264086780503163 m,-0.003603540541512018 m,0.0002584171969957083 m,0.0019380046158943287 m,-0.015116641934703523 m,0.01954996414709953 m,0.024128664432716107 m,-0.028639180517689766 m,0.003232531809054251 m,-0.02076661176334582 m,-0.02243881616009702 m
-0.031723820260815216 m,-0.002132088226364459 m,-0.034218443833776035 m,0.00317152598507775 m,-0.03591693190901779 m,-0.009785092415771857 m,-0.03678817552926006 m,-0.004638450967302532 m,-0.00816657199213111 m,0.004753458362706908 m,-0.024638854122059684 m,0.012314748111084128 m,0.01741544192820399 m,0.00859076797323155 m,0.0006128152267983467 m,-0.004072189928621128 m,-0.014177775804263604 m,-0.026694023289234536 m,-0.013662328381528255 m,0.001504693371607857 m,-0.04505403332757041 m,-0.027405733671148624 m,-0.026237347510289055 m,0.0029965799194151543 m,-0.033407371666854146 m,-0.03302499566957451 m,-0.02893169005372087 m,-0.013642165215873803 m,-0.032530883530522914 m,9.991806955511606e-5 m,-0.004862840646527644 m,-0.0007432237797360131 m,-0.00427033262498 m,0.0027815450509827144 m,-0.0024861619026701476 m,-0.0030467786859027512 m,-0.01997653773518948 m,-0.0011156694273495305 m,-0.0010301708576108126 m,0.010988513783647846 m,-0.03423539303891232 m,-0.007179351456453986 m,-0.0036346352085487865 m,-0.008955986346961708 m,0.0025186143005484496 m,-0.011615554031017439 m,-0.012357919188666244 m,0.015465552647960124 m,-0.0016963977661212937 m,-0.00899538805060729 m,-0.016430257940680093 m,-0.009237183189767961 m,0.020342064190558062 m,-0.009576574526931836 m,-0.025574476768717602 m,-0.002395277443650201 m,-0.006419039399666815 m,-0.015139084391940116 m,0.01187425891676952 m,-0.009416348140117492 m,-0.011974984459161675 m,-0.020426784668376996 m,-0.016774216307592127 m,-0.0011780392240154924 m,-0.020914063084401135 m,-0.025837385877423458 m,0.01973028462131765 m,-0.023647552394866267 m,-0.00880797557552171 m,-0.03200498419966635 m
-0.03254648851854114 m,-0.030175902356074147 m,-0.02635980330653709 m,0.001943606773497919 m,-0.031065077804754537 m,-0.0129056314268432 m,0.007411542844344865 m,0.0062349687830796086 m,-0.04182995888692176 m,0.003704327381150563 m,-0.02601164736222117 m,-0.03236387940415497 m,-0.028911163608935198 m,-0.007007318513167604 m,0.00835606587554949 m,-0.014830573610137066 m,-0.011224223984470427 m,-0.014316161392461169 m,-0.02008453607167482 m,0.008080365550235058 m,-0.01052299808706536 m,-0.005373329737942356 m,-0.01954735954636888 m,-0.0010277370904248073 m,-0.004766625389486023 m,-0.027178748907843442 m,-0.027780505015218893 m,0.0018472346632165682 m,-0.0010576072877981346 m,-0.022131806439194435 m,0.0006732466536369941 m,0.003339718486046195 m,0.0048135333296279725 m,0.002261526377040468 m,0.006654233423876832 m,-0.0098082746362671 m,0.00018188904469340628 m,-0.019263107241467736 m,-0.008218704360494655 m,-0.020127508720783283 m,-0.03251597298697462 m,-0.014555848282455486 m,-0.007029372820507973 m,-0.01697387299763875 m,-0.029092594873795008 m,-0.021663904342688056 m,0.015375679695058153 m,-0.02181260926613504 m,0.0033838470061056114 m,0.023707184706140083 m,0.008658791370521612 m,-0.014695640459766679 m,-0.014146275716967693 m,-0.03103458117653446 m,-0.01644747868980545 m,-0.0036206778698755215 m,-0.0024616704693087854 m,-0.007924093339642724 m,-0.011227523379758964 m,-0.014546558356986594 m,-0.01197384168506943 m,-0.011925887372949973 m,-0.0018583914771035381 m,-0.00913193488868913 m,-0.00850808026622829 m,0.014944154418479627 m,-0.015540020063117055 m,0.014239423127555995 m,-0.010834548417196999 m,-4.667098350097376e-5 m
0.0012266433316696634 m,-0.011572197053531852 m,-0.0373253688976547 m,0.003966476255712337 m,-0.03207844335365451 m,-0.03006216542228657 m,0.003633328033458838 m,-0.011229192887654449 m,-0.040678834341413506 m,-0.007988017778046697 m,-0.044915966287135234 m,-0.02532939051366867 m,-0.02893024054743165 m,0.017434433021499274 m,-0.010305246689959802 m,-0.0061761692710433636 m,-0.02277528902287429 m,-0.023968486071225925 m,-0.018659634623318766 m,-0.03761530268999991 m,-0.0002412505523423647 m,0.000544137170955139 m,0.0010193244034866211 m,-0.00521478574258083 m,0.0010799125063414294 m,-0.030690246313405112 m,0.005194098110948175 m,-0.002453282790483513 m,0.001316791641706061 m,0.0030512059047822504 m,-0.009581044792355442 m,-0.010569785035848156 m,-0.005320304147112154 m,-0.014586136875571754 m,0.003821259265563981 m,0.0016519793386535753 m,-0.014222209319633805 m,-0.011316448439700366 m,-0.006151501636530554 m,-0.003562379659143744 m,0.002642312126049262 m,-0.023560727489396527 m,-0.0070160869483046895 m,0.00221815253551938 m,-0.02567436355747077 m,0.002837889527228299 m,-0.026230604543322045 m,-0.0026494936690681925 m,-0.018704534461704725 m,0.000995914350355065 m,-0.014486702753707448 m,-0.01512355609246896 m,-0.004583921670779034 m,-0.004054715516083718 m,-0.014932015890344985 m,-0.008909507875515033 m,-0.003713470450762202 m,-0.008688974685185258 m,-0.01020949107061142 m,-0.027748959467842838 m,-0.016313430896218506 m,-0.011661495188469928 m,0.004688460466510946 m,0.0183179274457288 m,-0.012139625555349198 m,-0.01953351819615534 m,0.014565900458826775 m,0.008143638891489502 m,-0.02658908960393802 m,0.0004363958179851579 m
0.0018961793175478192 m,0.003365619554436705 m,-0.009080230004776979 m,-0.021393106336468293 m,0.009666814402542911 m,-0.00475828289759761 m,0.006272045704506013 m,-0.02837586518936064 m,-0.037822620517097505 m,-0.03282972095851022 m,-0.03802240885841712 m,0.014081063216508483 m,-0.02569873415625068 m,-0.0202782565901245 m,-0.019295317125731515 m,-0.013821275024476165 m,-0.017140212099512553 m,-0.02039311002571509 m,-0.0066410779899896966 m,0.0026252256881278413 m,-0.0028685090144122682 m,-0.00037214043489797177 m,0.00648624764124861 m,-0.01551134262164311 m,-0.017659487395953022 m,0.00416443970610203 m,0.0030809082249163566 m,0.02954911965066742 m,0.005597154075843491 m,-0.016667554103591442 m,0.012823003216382745 m,-0.0023393559268285458 m,-0.002807516254385689 m,-0.013756991735348834 m,0.0021423417211750007 m,0.0032517612449183275 m,0.0004852079614181548 m,-0.014226433592838816 m,-0.013647298579449796 m,-0.002809675213065077 m,-0.0041536974544627014 m,0.0007663335340879485 m,-0.01209787880463864 m,-0.013306580427304482 m,-0.025887670064257406 m,-0.01865602188707527 m,-0.04445938731010557 m,0.002819138353345352 m,-0.03858335071512897 m,-0.019332472707006332 m,0.018258544939158128 m,0.009973922943657954 m,-0.005626354968875091 m,-0.01983265991253802 m,-0.0240645764404519 m,-0.029259141137572442 m,-0.027267917612640247 m,-0.02238936991379603 m,0.005147368120148599 m,0.00456029851326889 m,-0.026021140435574353 m,-0.018321832352086176 m,-0.027488548562928372 m,-0.028401415053274093 m,-0.024965385446122923 m,-0.001979070541501926 m,0.003737234370291276 m,-0.015474464720199421 m,-0.022779924991567668 m,0.004113245950925659 m
-0.0007135052124169761 m,-0.004427331755195496 m,-0.0009773335134397598 m,0.0002451956311944059 m,-0.0022509046453080828 m,-0.013519943832918102 m,-0.044824795338548995 m,-0.0077867836617500075 m,-0.023225592510762283 m,-0.023302947949574104 m,-0.03981259226383571 m,-0.02835902147737812 m,0.004317603525862523 m,0.012935048282031403 m,-0.008132687414097006 m,-0.002090448746010054 m,-0.00849884426573766 m,-0.02867506177275203 m,0.0036110989430966356 m,0.00013074187975092855 m,0.0013607608312682373 m,0.014674006366718118 m,0.0062347751939029195 m,-0.012907769464213459 m,-0.01947929428937556 m,-0.010119836408392757 m,0.0005058516707237004 m,0.005646094326166917 m,-0.008002089247199251 m,-0.0032361808486172094 m,0.01795426321831428 m,-0.014258922668368257 m,-0.008527177238299544 m,0.0047432629643893165 m,0.00449259123183765 m,-0.015204429120622365 m,0.00214463350103955 m,-0.001524288356051784 m,-0.017986779601436353 m,-0.03272658066528322 m,0.0013482523168164562 m,-0.010379931783219831 m,-0.023646421637700143 m,-0.013985585101501385 m,-0.005024303764287197 m,-0.009990141028410449 m,0.006612325860160695 m,0.006914015235736315 m,-0.013471810273259166 m,-0.009001139295740757 m,0.032829637667838085 m,-0.03820729334459827 m,-0.036116769184545205 m,-0.016491315742968027 m,-0.02944626118424054 m,0.0009723286556919675 m,0.006427339007935018 m,-0.025660110011777704 m,0.0015310601634794807 m,-0.020082211419129692 m,-0.0006806258931533193 m,-0.02582456691692414 m,-0.02591282424225483 m,0.015870924617715332 m,0.019198046227444365 m,0.006377402345911776 m,-0.008679503125428312 m,-0.0029955533741414797 m,0.015548022352234625 m,0.014519688456807955 m
