time [Myr],sc1_f1 [m],sc1_f2 [m],sc1_f3 [m],sc2_f1 [m],sc2_f2 [m],sc2_f3 [m],sc3_f1 [m],sc3_f2 [m],sc3_f3 [m]
0.0,0.0,0.0,0.0,0.0,0.0,0.020587895480071283,0.0,0.0,0.0
0.0002,0.0,0.0,0.0,0.0,0.0,0.02094352840613902,0.0,0.0,0.0
0.0004,0.0,0.0,0.0,0.0,0.0,0.00032113917955923013,0.0,0.0,0.0
0.0006,0.0,0.0,0.02060591801959775,0.0,0.03986713531357892,0.0003923418982113517,0.0,0.01105316737076482,1.7772342354661268e-5
0.0008,0.0,0.0,0.021263888455823093,0.0,4.140253206762548e-6,0.00015335939824655774,0.0,0.010387154754430914,2.932581363078173e-5
0.001,0.0,0.0,0.0,0.0,7.356455944058319e-5,0.020622877121811344,0.0,0.009590232866689743,2.72170319103181e-5
0.0012,0.0,0.0,0.00026591756506628636,0.0,9.594857856622466e-5,0.0,0.0,0.009489280051194515,3.76594095152429e-5
0.0014,0.0,0.0,0.020940601457646188,0.0,0.0019333499269635198,0.0,0.0,0.009745703245950347,4.78688542908616e-5
0.0016,0.0,0.0,0.0209633792284026,0.0,0.00018820507918739654,0.020307795620552863,0.0,0.0,3.6522045819327465e-5
0.0018,0.0,0.0,0.0210218481278147,0.0,0.00016026648095631606,0.02213579726528788,0.0,0.00891303727013146,2.9983234693907172e-5
0.002,1.840518086701903e-35,0.0,0.0003661939675370651,0.0,0.00013456489136492653,0.0,0.0,0.009034721214877639,2.6348058665770164e-5
0.0022,1.9813749981595053e-31,0.0760442662592822,0.0004249707395333011,0.0,0.0334271125234191,0.0,0.0,0.008154615814757436,2.3690718592597378e-5
0.0024,2.042038405100009e-23,0.0,0.00018757280794672818,0.0,0.03399484972267897,0.0,0.0,0.007907148224698582,2.196081138083766e-5
0.0026,4.2489679296275065e-23,0.0756566535506076,0.0001896635000045539,0.0,0.0018493644016711287,0.0,0.0,0.008160703971361509,2.0644718615504357e-5
0.0028,0.0,0.07988951873629457,0.00011104839431716647,0.0,0.002415665730985117,0.020172639362363357,0.0,0.009820027427407532,1.9518211071285624e-5
0.003,0.0,0.0,8.736233394061182e-5,0.0,0.002398760045495915,0.020202966842272487,0.0,0.00891566167871419,1.8536233148774253e-5
0.0032,0.0,0.08058978170042205,0.00010615615884398489,0.0,0.0007797712054511538,0.02080389759909544,0.0,0.0,1.766308045381561e-5
0.0034,0.0,0.0,6.332010811563142e-5,0.0,0.0056742438673695475,0.020709507027060828,0.0,0.01024779603633272,1.839284876342901e-5
0.0036,0.0,0.0024302634364161777,0.00010052240085703943,0.0,0.0,0.021304108196074117,0.0,0.0,1.7555179825189933e-5
0.0038,1.0294712525006571e-23,0.0030416564747241743,0.00013344996360723036,0.0,0.0,0.021219269165135606,0.0,0.0,1.8101281951188757e-5
0.004,0.0,0.005668515767745698,0.0001324161379927984,6.504183396409313e-20,0.0,0.021289064073144143,0.0,0.0,1.8643403526015226e-5
0.0042,1.464014328943815e-23,0.0,0.00016192122576857808,1.5455103319411944e-19,0.0,0.0212875423381697,0.0,0.0,1.918822462484545e-5
0.0044,0.0,0.0806815716119697,0.00019894483787836516,3.1355456290160223e-19,0.0,0.021275639197118223,0.0,0.0,1.9764540188904854e-5
0.0046,0.0,0.0008298515221102538,0.00013474494367916217,0.0,0.0,0.0212600221151289,0.0,0.0,2.0262818692359047e-5
